NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR
Irma,HURRICANE-2,4,18.80000000,-43.30000000,09/02 12:00 PM,95,973
Irma,HURRICANE-2,4,18.50000000,-44.60000000,09/02 6:00 PM,95,973
Irma,HURRICANE-2,4,18.30000000,-46.20000000,09/03 12:00 AM,95,973
Irma,HURRICANE-3,5,18.00000000,-47.50000000,09/03 6:00 AM,100,969
Irma,HURRICANE-3,5,17.70000000,-48.40000000,09/03 12:00 PM,100,969
Irma,HURRICANE-3,5,17.60000000,-49.80000000,09/03 6:00 PM,100,969
Irma,HURRICANE-3,5,17.20000000,-51.00000000,09/04 12:00 AM,100,961
Irma,HURRICANE-3,5,16.90000000,-52.30000000,09/04 6:00 AM,100,961
Irma,HURRICANE-3,5,16.80000000,-53.30000000,09/04 12:00 PM,105,944
Irma,HURRICANE-4,6,16.70000000,-54.40000000,09/04 6:00 PM,115,944
Irma,HURRICANE-4,6,16.70000000,-55.60000000,09/05 12:00 AM,120,943
Irma,HURRICANE-4,6,16.60000000,-57.00000000,09/05 6:00 AM,130,937
Irma,HURRICANE-5,7,16.70000000,-57.70000000,09/05 6:00 AM,150,929
Irma,HURRICANE-5,7,16.80000000,-58.40000000,09/05 12:00 PM,155,931
Irma,HURRICANE-5,7,17.10000000,-59.80000000,09/05 6:00 PM,160,926
Irma,HURRICANE-5,7,17.40000000,-61.10000000,09/06 12:00 AM,160,916
Irma,HURRICANE-5,7,17.90000000,-62.60000000,09/06 6:00 AM,160,914
Irma,HURRICANE-5,7,18.20000000,-64.00000000,09/06 12:00 PM,160,918
Irma,HURRICANE-5,7,18.80000000,-65.40000000,09/06 6:00 PM,160,914
Irma,HURRICANE-5,7,19.40000000,-66.80000000,09/07 12:00 AM,160,916
Irma,HURRICANE-5,7,20.00000000,-68.30000000,09/07 6:00 AM,155,921
Irma,HURRICANE-5,7,20.40000000,-69.70000000,09/07 12:00 PM,150,921
Irma,HURRICANE-5,7,20.90000000,-71.10000000,09/07 6:00 PM,150,922
Irma,HURRICANE-5,7,21.30000000,-72.40000000,09/08 12:00 AM,145,920
Irma,HURRICANE-4,6,21.70000000,-73.80000000,09/08 6:00 AM,135,925
Irma,HURRICANE-4,6,22.00000000,-75.30000000,09/08 12:00 PM,130,927
Irma,HURRICANE-4,6,22.10000000,-76.50000000,09/08 6:00 PM,135,925
Irma,HURRICANE-5,7,22.10000000,-77.70000000,09/09/11Z,140,924
Irma,HURRICANE-4,6,22.50000000,-78.80000000,09/09/20Z,135,930
Irma,HURRICANE-3,5,22.80000000,-79.80000000,09/09 12:00 PM,110,941
Irma,HURRICANE-3,5,23.40000000,-80.50000000,09/09 6:00 PM,110,933
Irma,HURRICANE-3,5,23.50000000,-81.00000000,09/10 12:00 AM,105,933
Irma,HURRICANE-4,6,24.10000000,-81.50000000,09/10 6:00 AM,115,928
Irma,HURRICANE-4,6,25.00000000,-81.50000000,09/10 12:00 PM,115,933
Irma,HURRICANE-2,4,26.20000000,-81.80000000,09/10 6:00 PM,95,938
Irma,HURRICANE-2,4,27.50000000,-81.90000000,09/11 12:00 AM,85,952
Irma,HURRICANE-1,3,28.90000000,-82.60000000,09/11 6:00 AM,65,965
Irma,TROPICAL STORM,2,30.30000000,-83.10000000,09/11 12:00 PM,55,975
Irma,TROPICAL STORM,2,31.50000000,-84.00000000,09/11 6:00 PM,45,985
Irma,TROPICAL DEPRESSION,1,32.40000000,-84.90000000,09/12 12:00 AM,30,988
Jose,TROPICAL STORM,2,12.30,-39.10,09/05 12:00 PM,35,1008
Jose,TROPICAL STORM,2,12.50,-40.60,09/05 6:00 PM,40,1006
Jose,TROPICAL STORM,2,12.30,-41.70,09/06 12:00 AM,45,1004
Jose,TROPICAL STORM,2,12.50,-42.80,09/06 6:00 AM,50,1002
Jose,TROPICAL STORM,2,13.10,-44.50,09/06 12:00 PM,60,998
Jose,HURRICANE-1,3,13.90,-45.80,09/06 6:00 PM,65,994
Jose,HURRICANE-1,3,14.40,-47.50,09/07 12:00 AM,75,989
Jose,HURRICANE-1,3,14.80,-49.10,09/07 6:00 AM,80,986
Jose,HURRICANE-1,3,14.90,-50.60,09/07 12:00 PM,80,986
Jose,HURRICANE-3,5,15.50,-52.40,09/07 6:00 PM,105,966
Jose,HURRICANE-3,5,15.60,-53.90,09/08 12:00 AM,105,966
Jose,HURRICANE-3,5,16.00,-55.30,09/08 6:00 AM,110,957
Jose,HURRICANE-4,6,16.30,-57.10,09/08 12:00 PM,130,942
Jose,HURRICANE-4,6,16.60,-58.30,09/08 6:00 PM,130,940
Jose,HURRICANE-4,6,16.90,-59.30,09/09 12:00 AM,135,938
Jose,HURRICANE-4,6,17.50,-60.30,09/09 6:00 AM,130,940
Jose,HURRICANE-4,6,18.30,-61.30,09/09 12:00 PM,125,945
Jose,HURRICANE-4,6,19.20,-62.40,09/09 6:00 PM,125,945
Jose,HURRICANE-4,6,19.80,-63.40,09/10 12:00 AM,115,944
Jose,HURRICANE-4,6,20.80,-64.50,09/10 6:00 AM,115,944
Jose,HURRICANE-4,6,21.70,-65.80,09/10 12:00 PM,115,944
Jose,HURRICANE-3,5,22.80,-66.90,09/10 6:00 PM,105,956
